CohortMonth,0
2024-11,100.0
2024-12,100.0
2024-10,97.13333333333333
2024-09,93.55
2024-08,86.0
2024-07,85.7
2024-06,74.1
2024-05,70.525
2024-04,69.1888888888889
2024-03,66.0
2024-02,64.14545454545454
2023-01,63.63636363636363
2023-12,60.76923076923077
2024-01,56.4
2023-11,54.221428571428575
2023-10,51.48666666666667
2023-09,48.331250000000004
2023-06,45.11052631578948
2023-02,44.88636363636363
2023-07,44.75555555555555
2023-08,42.029411764705884
2023-05,41.790000000000006
2023-03,38.85454545454546
2023-04,38.095238095238095
