account_id,account_name,industry,country,signup_date,referral_source,plan_tier_x,seats_x,is_trial_x,churn_flag_x,SignupMonth,subscription_id,start_date,end_date,plan_tier_y,seats_y,mrr_amount,arr_amount,is_trial_y,upgrade_flag,downgrade_flag,churn_flag_y,billing_frequency,auto_renew_flag,cohortMonth,churn_event_id,churn_date,reason_code,refund_amount_usd,preceding_upgrade_flag,preceding_downgrade_flag,is_reactivation,feedback_text
A-2e4581,Company_0,EdTech,US,2024-10-16,partner,Basic,9,False,False,2024-10,S-faa8ec,2024-12-09,Active Subscription,Basic,11,209,2508,False,False,False,False,monthly,True,2024-10,C-695fcd,2024-11-23,budget,0.0,False,False,False,switched to competitor
A-2e4581,Company_0,EdTech,US,2024-10-16,partner,Basic,9,False,False,2024-10,S-faa8ec,2024-12-09,Active Subscription,Basic,11,209,2508,False,False,False,False,monthly,True,2024-10,C-cea92d,2024-12-05,competitor,0.0,True,False,False,No feedback
A-2e4581,Company_0,EdTech,US,2024-10-16,partner,Basic,9,False,False,2024-10,S-b78829,2024-11-12,Active Subscription,Pro,20,980,11760,False,False,False,False,monthly,True,2024-10,C-695fcd,2024-11-23,budget,0.0,False,False,False,switched to competitor
A-2e4581,Company_0,EdTech,US,2024-10-16,partner,Basic,9,False,False,2024-10,S-b78829,2024-11-12,Active Subscription,Pro,20,980,11760,False,False,False,False,monthly,True,2024-10,C-cea92d,2024-12-05,competitor,0.0,True,False,False,No feedback
A-2e4581,Company_0,EdTech,US,2024-10-16,partner,Basic,9,False,False,2024-10,S-7ce677,2024-10-20,Active Subscription,Pro,9,441,5292,False,False,False,False,monthly,True,2024-10,C-695fcd,2024-11-23,budget,0.0,False,False,False,switched to competitor
A-2e4581,Company_0,EdTech,US,2024-10-16,partner,Basic,9,False,False,2024-10,S-7ce677,2024-10-20,Active Subscription,Pro,9,441,5292,False,False,False,False,monthly,True,2024-10,C-cea92d,2024-12-05,competitor,0.0,True,False,False,No feedback
A-2e4581,Company_0,EdTech,US,2024-10-16,partner,Basic,9,False,False,2024-10,S-34a131,2024-11-29,Active Subscription,Enterprise,9,1791,21492,False,False,False,False,annual,False,2024-10,C-695fcd,2024-11-23,budget,0.0,False,False,False,switched to competitor
A-2e4581,Company_0,EdTech,US,2024-10-16,partner,Basic,9,False,False,2024-10,S-34a131,2024-11-29,Active Subscription,Enterprise,9,1791,21492,False,False,False,False,annual,False,2024-10,C-cea92d,2024-12-05,competitor,0.0,True,False,False,No feedback
A-2e4581,Company_0,EdTech,US,2024-10-16,partner,Basic,9,False,False,2024-10,S-1e349b,2024-11-13,Active Subscription,Basic,102,1938,23256,False,False,False,False,monthly,True,2024-10,C-695fcd,2024-11-23,budget,0.0,False,False,False,switched to competitor
A-2e4581,Company_0,EdTech,US,2024-10-16,partner,Basic,9,False,False,2024-10,S-1e349b,2024-11-13,Active Subscription,Basic,102,1938,23256,False,False,False,False,monthly,True,2024-10,C-cea92d,2024-12-05,competitor,0.0,True,False,False,No feedback
